iter	RMSE
0	9.754309456
1	9.026479038
2	8.38345218
3	7.831195146
4	7.296274456
5	6.793303298
6	6.387082951
7	6.015245917
8	5.69741035
9	5.378447014
10	5.113845032
11	4.919314694
12	4.678821926
13	4.509203881
14	4.326026425
15	4.130623211
16	3.967181042
17	3.86941249
18	3.733952177
19	3.655293408
20	3.569154849
21	3.480477891
22	3.382423563
23	3.312436303
24	3.244716841
25	3.202328301
26	3.133163324
27	3.073156595
28	3.040398359
29	2.999989635
30	2.959424394
31	2.923774091
32	2.893620317
33	2.875651486
34	2.85157917
35	2.829242713
36	2.807284833
37	2.789963593
38	2.754348295
39	2.737233264
40	2.726081079
41	2.713261651
42	2.698861452
43	2.691589592
44	2.672635027
45	2.653792398
46	2.643192261
47	2.636085419
48	2.624841081
49	2.61684135
50	2.605890117
51	2.588904396
52	2.565228501
53	2.557623025
54	2.540035772
55	2.533443981
56	2.523361308
57	2.515119631
58	2.510952454
59	2.504541635
60	2.499424588
61	2.490186938
62	2.487292027
63	2.482413355
64	2.476811405
65	2.467226263
66	2.459894632
67	2.44819988
68	2.439971716
69	2.436930163
70	2.422054852
71	2.416542387
72	2.412375718
73	2.406176677
74	2.40058397
75	2.391861074
76	2.386387505
77	2.37773591
78	2.374398678
79	2.365422015
80	2.361572234
81	2.356491376
82	2.348671479
83	2.345279672
84	2.336027947
85	2.332999633
86	2.324382129
87	2.318579135
88	2.316521589
89	2.313507412
90	2.30523938
91	2.303425973
92	2.300503819
93	2.2946797
94	2.281995144
95	2.278816943
96	2.270881672
97	2.266306206
98	2.263731244
99	2.258134863
100	2.255301677
101	2.252872359
102	2.247348465
103	2.24537196
104	2.240457579
105	2.235324962
106	2.225779209
107	2.223838133
108	2.215068286
109	2.21128898
110	2.209559257
111	2.202708575
112	2.198438877
113	2.187418482
114	2.185389613
115	2.179177155
116	2.17760276
117	2.176106461
118	2.173019686
119	2.170182033
120	2.159118534
121	2.150082743
122	2.148497655
123	2.145387423
124	2.144161979
125	2.136600877
126	2.133383135
127	2.129603701
128	2.119441615
129	2.11797174
130	2.112801418
131	2.109650359
132	2.107121984
133	2.105326003
134	2.104180023
135	2.101363597
136	2.098427211
137	2.096096569
138	2.08810934
139	2.086926453
140	2.085942093
141	2.084723894
142	2.075778999
143	2.073536744
144	2.072486882
145	2.066102778
146	2.065090641
147	2.062602741
148	2.060053064
149	2.055930221
150	2.052430438
151	2.049076837
152	2.041847259
153	2.039903234
154	2.03243768
155	2.028802916
156	2.020639846
157	2.017612361
158	2.009553474
159	2.004387525
160	1.998999552
161	1.997372822
162	1.994797051
163	1.984567922
164	1.979523002
165	1.974776288
166	1.97215267
167	1.96885919
168	1.958318587
169	1.956721764
170	1.952345296
171	1.950788623
172	1.947316191
