iter	Passed	Remaining
0	1	5328
1	3	5067
2	4	4895
3	6	4920
4	8	4961
5	9	4983
6	11	4995
7	13	4945
8	14	4911
9	15	4629
10	17	4705
11	19	4750
12	20	4750
13	21	4603
14	23	4621
15	25	4768
16	27	4794
17	29	4850
18	31	4888
19	33	4940
20	34	4962
21	36	4971
22	38	4960
23	40	5010
24	42	5032
25	43	5025
26	45	5046
27	47	5043
28	49	5057
29	51	5112
30	53	5100
31	55	5110
32	59	5349
33	61	5386
34	63	5380
35	65	5409
36	67	5404
37	69	5415
38	71	5412
39	73	5402
40	74	5398
41	76	5402
42	78	5407
43	80	5405
44	82	5413
45	84	5413
46	86	5420
47	88	5457
48	90	5443
49	92	5432
50	93	5423
51	95	5424
52	97	5424
53	99	5422
54	101	5412
55	101	5343
56	103	5337
57	105	5334
58	107	5333
59	108	5337
60	110	5346
61	112	5351
62	115	5362
63	116	5364
64	118	5364
65	120	5361
66	122	5358
67	124	5364
68	126	5368
69	128	5368
70	129	5356
71	131	5359
72	133	5350
73	135	5345
74	136	5337
75	138	5326
76	140	5323
77	141	5315
78	143	5305
79	145	5299
80	146	5275
81	147	5265
82	149	5259
83	151	5249
84	152	5241
85	154	5250
86	156	5249
87	158	5237
88	159	5229
89	161	5221
90	163	5231
91	165	5227
92	167	5230
93	169	5225
94	171	5245
95	173	5246
96	175	5239
97	177	5257
98	179	5263
99	181	5271
100	183	5275
101	185	5274
102	187	5278
103	190	5293
104	192	5295
105	194	5296
106	195	5296
107	197	5293
108	199	5297
109	201	5290
110	203	5288
111	204	5284
112	206	5284
113	208	5283
114	210	5277
115	212	5271
116	214	5279
117	216	5277
118	217	5266
119	219	5268
120	221	5259
121	222	5252
122	224	5248
123	226	5246
124	228	5245
125	229	5240
126	231	5237
127	233	5231
128	234	5225
129	236	5220
130	238	5214
131	239	5193
132	240	5187
133	242	5183
134	243	5175
135	245	5169
136	247	5162
137	248	5158
138	250	5154
139	251	5145
140	253	5144
141	255	5145
142	257	5140
143	259	5137
144	260	5131
145	262	5128
146	264	5125
147	265	5121
148	267	5117
149	269	5116
150	271	5115
151	272	5112
152	274	5109
153	276	5106
154	277	5100
155	279	5096
156	281	5092
157	282	5089
158	284	5081
159	286	5076
160	287	5072
161	289	5069
162	290	5064
163	292	5061
164	294	5056
165	295	5050
166	297	5043
167	298	5040
168	300	5036
169	302	5030
170	303	5027
171	305	5021
172	307	5016
173	308	5013
174	310	5007
175	312	5009
176	313	5006
177	315	5001
178	317	4997
179	318	4992
180	320	4989
181	321	4985
182	323	4981
183	325	4977
184	326	4972
185	328	4967
186	329	4962
187	331	4959
188	333	4959
189	334	4953
190	336	4949
191	338	4948
192	339	4944
193	341	4944
194	343	4940
195	345	4941
196	347	4938
197	348	4934
198	350	4930
199	351	4927
200	353	4923
201	355	4919
202	356	4914
203	358	4911
204	359	4908
205	361	4908
206	364	4911
207	365	4910
208	367	4906
209	369	4902
210	370	4899
211	372	4896
212	374	4896
213	375	4892
214	377	4887
215	379	4885
216	380	4884
217	383	4888
218	385	4889
219	386	4886
220	388	4884
221	390	4881
222	391	4879
223	393	4877
224	395	4875
225	397	4876
226	399	4875
227	400	4873
228	402	4870
229	404	4868
230	405	4863
231	407	4860
232	409	4857
233	410	4857
234	412	4855
235	414	4854
236	416	4852
237	418	4851
238	419	4849
239	421	4848
240	423	4851
241	425	4849
242	427	4848
243	429	4845
244	430	4841
245	432	4838
246	433	4836
247	435	4832
248	437	4830
249	438	4825
250	440	4822
251	441	4819
252	443	4816
253	445	4812
254	446	4808
255	448	4806
256	449	4802
257	452	4805
258	453	4803
259	455	4800
260	457	4797
261	458	4795
262	460	4792
263	462	4789
264	463	4785
265	465	4782
266	466	4780
267	468	4776
268	470	4774
269	471	4771
270	473	4768
271	475	4764
272	477	4765
273	478	4760
274	480	4757
275	481	4755
276	483	4752
277	484	4748
278	486	4747
279	488	4746
280	490	4742
281	491	4741
282	493	4737
283	494	4733
284	496	4732
285	498	4728
286	499	4725
287	501	4722
288	503	4719
289	504	4717
290	506	4714
291	507	4710
292	509	4705
293	511	4704
294	512	4703
295	514	4701
296	516	4700
297	518	4696
298	519	4695
299	521	4693
300	523	4690
301	524	4686
302	526	4682
303	527	4679
304	529	4677
305	531	4677
306	532	4674
307	534	4671
308	536	4669
309	537	4666
310	539	4663
311	540	4659
312	542	4656
313	543	4653
314	545	4649
315	547	4646
316	548	4644
317	550	4641
318	552	4639
